name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike,google_id,google_name,google_rating,google_nbrating,google_address,google_type,google_lat,google_lon,distance
Hôtel Gavarni,4b6adc71f964a520f3e32be3,48.85864106682313,2.2826705257207704,75116,Paris,"['5 rue Gavarni', '75116 Paris', 'France']",Hotel,75116,16,6,ChIJ7y7ECv5v5kcRu3fGyFQMm2k,Hôtel Gavarni,4,109,"5 Rue Gavarni, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8586912,2.2827318,0.007162291180616659
Hotel Trocadero La Tour,4adcda01f964a520243121e3,48.85818965262846,2.2794358546894014,75116,Paris,"['5 bis rue Massenet', '75116 Paris', 'France']",Hotel,75116,16,2,ChIJqbnXzf9v5kcRbPGzZSJESN8,Hôtel TROCADERO LA TOUR Best Western Premier,4.2,139,"5bis Rue Massenet, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8583127,2.2795075,0.01465890052482759
Hôtel Beauséjour Ranelagh,4e84be062fb6611bdfd705b1,48.85566601728689,2.269903463634485,75016,Paris,"['99 rue du Ranelagh', '75016 Paris', 'France']",Hotel,75016,16,0,ChIJdwA186x65kcRc6oiFji2HPI,Hotel Beauséjour Ranelagh,3.9,74,"99 Rue du Ranelagh, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8555948,2.2697048,0.016590901416290715
Régina de passy,50728dafe4b0559b4e5a4bfa,48.858316828072965,2.2838611699971794,,,['France'],Bed & Breakfast,75016,16,0,ChIJP_-HCS9u5kcRsj9b1x7Pl8w,Hotel Regina Louvre,4.5,414,"2 Place des Pyramides, 75001 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86386539999999,2.3325488,3.625354167387196
Hôtel Les Hauts de Passy,4c41df88d7fad13a912c08da,48.85725052711771,2.2783760562843622,75016,Paris,"[""37 rue de l'Annonciation"", '75016 Paris', 'France']",Hotel,75016,16,14,ChIJPfQyGQBw5kcRM6kOzk6FHBM,Les Hauts de Passy,3.6,154,"37 Rue de l'Annonciation, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.85726,2.2783159,0.004538267907760264
Le Sezz Breakfast,522ad6a411d2f7efb54ee850,48.857050820111745,2.285727205711098,,,['France'],Hotel,75016,16,1,ChIJeV_BxMzAzhIRQPyxTsQkeF8,Hotel Sezz Saint-tropez,4.6,85,"151 Chemin des Salins, 83990 St.Tropez, France","['spa', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",43.263468,6.669553999999999,707.9638115812207
Floor 3,4f34607fe4b097dab0b79dfd,48.858902799999996,2.2842772,,Paris,"['6 Rue de la Tour', 'Paris', 'France']",Bed & Breakfast,75116,16,0,ChIJ0eStF3BqiEgRPwS_j8jZ4N4,Tapi Carpets & Floors Uddingston,4.5,12,"Unit 3, Birkenshaw Trading Estate, Rannoch Rd, Glasgow, Uddingston, Glasgow G71 5PR, UK","['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",55.8365529,-4.0895035,888.7955998700859
Hôtel Windsor Home,4adcda03f964a520f23121e3,48.86050601750859,2.2803095943610154,75016,Paris,"['3 rue Vital', '75016 Paris', 'France']",Hotel,75116,16,2,ChIJJ0qIAv9v5kcRH8S3D0XytrE,Windsor Home,4.3,22,"3 Rue Vital, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8604733,2.2800768,0.017464704095544594
Renaissance Paris Le Parc Trocadero Hotel,4bb9f17b7421a593152ec340,48.867253999999996,2.285719,75116,Paris,"['55-57 avenue Raymond Poincaré', '75116 Paris', 'France']",Hotel,75016,16,72,ChIJa0xMePpv5kcRp6xsMWNqunY,Renaissance Paris Le Parc Trocadero Hotel,4.3,452,"55-57 Avenue Raymond Poincaré, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.867254,2.285719,7.069288649822941e-13
Saint James Paris,4bf0e73e6f8aa5933c5fc23c,48.87050892029931,2.2798562049865723,75116,Paris,"['43 avenue Bugeaud (Place Chancelier Adenauer)', '75116 Paris', 'France']",Hotel,75016,16,89,ChIJ6dh8OfZv5kcRRLsOW4C6VYY,Saint James Paris,4.7,516,"5 Place du Chancelier Adenauer, 75116 Paris, France","['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8704726,2.2797462,0.009024458783888457
Citadines Trocadéro Paris,4b792e43f964a5200eee2ee3,48.866380355901406,2.285708748929189,75116,Paris,"['29 bis rue Saint-Didier (Avenue Raymond Poincaré)', '75116 Paris', 'France']",Hotel,75016,16,24,ChIJj-ekfvdv5kcR5XV3ZiuxRcg,Citadines Trocadéro Paris (Apart hotel Paris),4.2,242,"29 Rue Saint-Didier, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8663372,2.2855789,0.010667251310308608
Hôtel Villa Glamour,4e6e669a14955284baace1d6,48.86452048155208,2.2779796735349978,75116,Paris,"['85 rue de la Pompe', '75116 Paris', 'France']",Hotel,75016,16,1,ChIJiU43g_hv5kcRyIHJeHFx6lg,Hôtel Villa Glamour,4.5,55,"85 Rue de la Pompe, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86459439999999,2.2778915,0.010460610062665264
La Réserve Paris - Apartments,4d57b7d41270236a0e398d59,48.863482959020025,2.2859542071819305,75116,Paris,"[""3 avenue d'Eylau"", '75116 Paris', 'France']",Hotel,75016,16,6,ChIJm2s0bPtv5kcRd3I-uJ3Wv6g,La Réserve Apartments Paris,4.8,27,"3 Avenue d'Eylau, 75116 Paris, France","['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",48.8634411,2.2858703,0.007718193889686316
51 Ave. Foch,4ef024ae30f895c319b83e79,48.87177790084854,2.282551699407588,,,['France'],Bed & Breakfast,75016,16,1,ChIJ2Xe3lvZv5kcRdXv5_QbYWZo,51 Avenue Foch,,,"51 Avenue Foch, 75116 Paris, France",['street_address'],48.8717019,2.2822072,0.026648131954566574
"Le Metropolitan, a Tribute Portfolio Hotel, Paris",4b0c0017f964a520843523e3,48.86569420519814,2.2829813808039034,75116,Paris,"['10 Place De Mexico', '75116 Paris', 'France']",Hotel,75016,16,33,ChIJNdKPhvlv5kcRaoBSEjKEcK4,"Le Metropolitan, a Tribute Portfolio Hotel, Paris",4.3,233,"10 Place de Mexico, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8656942,2.2829814,1.5224043175506357e-06
Hotel Longchamp Elysees,4ca8fe9476d3a09333971b6b,48.865254661298465,2.285673991462768,75116,Paris,"['68 rue de Longchamp', '75116 Paris', 'France']",Hotel,75016,16,5,ChIJV4okUvpv5kcRMKjF-o7rRzE,Hôtel Longchamp Elysées,4.1,119,"68 Rue de Longchamp, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86533289999999,2.2856578,0.008781425141434814
Hotel Plaza Tour Eiffel,4b8d9b94f964a520f40333e3,48.86448523514374,2.282248633604092,75016,Paris,"['32 rue Greuze', '75016 Paris', 'France']",Hotel,75016,16,11,ChIJlbnocflv5kcRrtes34XwpRg,Plaza Tour Eiffel Hotel,4.3,157,"32 Rue Greuze, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8645308,2.2823014,0.006376847051983873
"Hotel Particulier 6, Avenue Georges Mandel",4c2a4184c758e21e705c3a3f,48.863550024390925,2.284671095217337,,Paris,"['6 avenue Georges Mandel', 'Paris', 'France']",Hotel,75016,16,0,ChIJs3XxkPtv5kcRUXRgVIYLQVw,6 Mandel,4.5,17,"6 Avenue Georges Mandel, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.86325679999999,2.2852449,0.053252406614580215
Meliá París Champs Elysées,56b518ea498e33f2f114e57c,48.86884800000001,2.2827925,75116,Paris,"['102 Avenue Victor Hugo', '75116 Paris', 'France']",Hotel,75016,16,3,ChIJa_WISPdv5kcROEsLZ4zgKcY,Meliá París Champs Elysées,4.2,231,"102 Avenue Victor Hugo, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8688515,2.2827979,0.0005553757482543146
Studio Paris Arc de Triomphe,52e15cce498e46db6b1766c0,48.87188215662465,2.2855223934449804,,Paris,"['Avenue Foch, 37', 'Paris', 'France']",Boarding House,75116,16,2,ChIJjx37cOxv5kcRPWQuEW5ntdk,Arc de Triomphe,4.6,113720,"Place Charles de Gaulle, 75008 Paris, France","['museum', 'point_of_interest', 'establishment']",48.8737917,2.295027499999999,0.7288940226459915
L'Arc Ciel 라크씨엘,53b9fc9b498e8cb57238e85d,48.867789,2.278395,75016,Paris,"['10 rue de Pomereu', '75016 Paris', 'France']",Boarding House,75016,16,0,,,,,,,,,['']
Hotel alma mesnil,4c2f42bd213c2d7f947d305d,48.866521,2.2854080000000003,,,['France'],Hotel,75016,16,0,ChIJdVfqbvpv5kcR2LuqkzQRdxM,Hôtel Alma Mesnil,,,"38 Rue Saint-Didier, 75116 Paris, France","['point_of_interest', 'establishment']",48.86663069999999,2.2855093,0.01428501993204684
Waytostay,4d41e536aed776eb2c636897,48.8637,2.2769,75116,Paris,"['Avenue Victor Hugo, 16ème Bois de Boulogne Trocade', '75116 Paris', 'France']",Hotel,75116,16,0,ChIJTXQreMcPdkgRVy-B1VXDpNo,A Better Way to Stay,5,2,"31 Rowan Rd, Hammersmith, London W6 7DT, UK","['lodging', 'point_of_interest', 'establishment']",51.4944199,-0.2201065,342.6463640530912
Le Singulier,4e85d96f9a523c0720813519,48.866581,2.285358,75016,Paris,"['38 rue Saint Didier', '75016 Paris', 'France']",Hotel,75016,16,4,ChIJ66PCbvpv5kcRigOcRnoGkKU,Hôtel Le Singulier,4.8,13,"38 Rue Saint-Didier, 75016 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8666201,2.285326,0.0049415324774176195
4 этаж номнр 424,5072822fe4b0cff862c47f04,48.86578369140625,2.2827589511871342,,,['France'],Hotel,75016,16,0,,,,,,,,,['']
Melia Alexander Boutique Hotel,4fa2c839e4b099a8dde73293,48.86886152127668,2.282898443186512,75116,Paris,"['102 Avenue Victor Hugo, 75116 Paris', '75116 Paris', 'France']",Hotel,75016,16,20,ChIJa_WISPdv5kcROEsLZ4zgKcY,Meliá París Champs Elysées,4.2,231,"102 Avenue Victor Hugo, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8688515,2.2827979,0.007459933567309417
Le Metropolitan Hotel,5798c09a498e1f4c15d299fe,48.86565948000313,2.2830449190423185,75116,Paris,"['10 place de Mexico', '75116 Paris', 'France']",Hotel,75016,16,21,ChIJNdKPhvlv5kcRaoBSEjKEcK4,"Le Metropolitan, a Tribute Portfolio Hotel, Paris",4.3,233,"10 Place de Mexico, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8656942,2.2829814,0.006051980089774254
50 rue Copernic,4f999b7be4b01a78fd2e744f,48.86967849731445,2.2863399982452397,75116,Paris,"['50 rue Copernic', '75116 Paris', 'France']",Resort,75116,16,0,ChIJgRu8-PBv5kcROtii8d2bpeg,50 Rue Copernic,,,"50 Rue Copernic, 75116 Paris, France",['street_address'],48.86959780000001,2.2864956,0.014520501616881702
Eiffel Condo,4cae1f720c1e6dcb709e7bbf,48.868196000000005,2.278259,75016,Paris,"['10, rue de pomereu', '75016 Paris', 'France']",Hotel,75016,16,0,,,,,,,,,['']
Hotel De Nanteuil,4ca0ec95542b224bfb380aa0,48.869384000000004,2.2765470000000003,,,['France'],Hotel,75016,16,0,ChIJ2apnepIuw0cR8rOGFuMG9lU,Hôtel Première Classe Meaux,3.3,398,"ZA de Nanteuil, 21 Avenue de la Foulée, 77100 Nanteuil-lès-Meaux, France","['lodging', 'point_of_interest', 'establishment']",48.93592629999999,2.8810684,44.93346338961044
Waytostay,4d41e521aed776ebef5f6897,48.86442,2.282,75116,Paris,"['Rue Sheffer,16ème Bois de Boulogne Trocadero', '75116 Paris', 'France']",Hotel,75016,16,0,ChIJTXQreMcPdkgRVy-B1VXDpNo,A Better Way to Stay,5,2,"31 Rowan Rd, Hammersmith, London W6 7DT, UK","['lodging', 'point_of_interest', 'establishment']",51.4944199,-0.2201065,342.76690089864024
Hotel Alexander,4b9f7bfff964a520b52537e3,48.868804,2.2829580000000003,,,['France'],Hotel,75016,16,0,ChIJb04mOPdv5kcRc5qZ08ntFZA,Hotel Alexander,,,"100 Avenue Victor Hugo, 75016 Paris, France","['point_of_interest', 'establishment']",48.8688963,2.2829812,0.010404582581116054
Hyatt Regency Paris Etoile,4adcda04f964a520033221e3,48.880595161115416,2.28453066728758,75017,Paris,"['3 Place Du Generale Koenig', '75017 Paris', 'France']",Hotel,75017,17,408,ChIJT0BJgYtv5kcRJH8RHq52HUU,Hyatt Regency Paris Etoile,4.2,2523,"3 Place du Général Kœnig, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.88046139999999,2.2844977,0.015070479477045286
Hôtel Le Méridien Étoile,4bbadc72b35776b02563cb01,48.879549299999994,2.2852622000000005,75017,Paris,"['81 boulevard Gouvion Saint-Cyr', '75017 Paris', 'France']",Hotel,75017,17,345,ChIJyXANnIxv5kcRJvgjYOrUKEs,Le Méridien Etoile,4.1,2876,"81 Boulevard Gouvion Saint-Cyr 75848 Cedex 17, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.87954930000001,2.2852622,1.414546477222842e-12
AC Hotel by Marriott Paris Porte Maillot,534b9523498ef3902475b28b,48.882250443088274,2.2818785905838013,75017,Paris,"['6 Rue Gustave Charpentier', '75017 Paris', 'France']",Hotel,75017,17,53,ChIJo-6d0Ytv5kcRF76qFof7PaY,AC Hotel by Marriott Paris Porte Maillot,4.3,441,"6 Rue Gustave Charpentier, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8822504,2.2818786,4.8412505731610835e-06
Hotel Les Jardins de la Villa Paris,4be06c474c55b651c46deab7,48.880186,2.285932,75017,Paris,"['5 Rue Belidor', '75017 Paris', 'France']",Hotel,75017,17,21,ChIJGZY6Xoxv5kcRDctK5e6026w,Les Jardins de la Villa & SPA,4.5,161,"5 Rue Belidor, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8801757,2.2859534,0.0019431314550343976
Hotel Villa des Ternes,4bb19d49f964a5200f9c3ce3,48.880547176385996,2.285831374851192,75017,Paris,"['97 avenue des Ternes', '75017 Paris', 'France']",Hotel,75017,17,17,ChIJQSXWZoxv5kcRVD3aN5sqEEM,Hôtel La Villa des Ternes,4.3,169,"97 Avenue des Ternes, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8804077,2.2858642,0.015696554511014153
Hotel Residence Foch,4bb51c096edc76b031442f1c,48.87424610014698,2.2811502090041644,,,['France'],Bed & Breakfast,75116,16,17,ChIJKZWJs_Vv5kcRNgG72GpZzEY,Foch hotel,4.5,213,"10 Rue Marbeau, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.874234,2.281102,0.0037837699261574057
Neuilly Park Hôtel,4adcda02f964a520873121e3,48.88188490436429,2.2768039921098624,92200,Neuilly-sur-Seine,"['23 rue Madeleine Michelis', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,7,ChIJR3Tcm2Fl5kcRQrQc4EPahPo,Neuilly Park Hotel,3.9,145,"23 Rue Madeleine Michelis, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.88187370000001,2.2767191,0.006349833937543339
Hôtel La Villa Maillot,4b799843f964a52025042fe3,48.8755456231535,2.2836300730705257,75116,Paris,"['143 avenue Malakoff', '75116 Paris', 'France']",Hotel,75116,16,29,ChIJLftUhPRv5kcRfOGxU3o9I4E,La Villa Maillot - Arc de Triomphe,4.5,65,"143 Avenue de Malakoff, 75116 Paris, France","['spa', 'university', 'place_of_worship', 'bar', 'lodging', 'point_of_interest', 'establishment']",48.87556070000001,2.2836707,0.003419420358255713
Hôtel Maillot,5055850be4b012cb829f2ec0,48.88047128,2.27794339,92200,Neuilly-sur-Seine,"['46 Rue de Sablonville', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,1,ChIJb4byy2Fl5kcRsKYedh8l6GQ,Hôtel Maillot,3.6,170,"46 Rue de Sablonville, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.88044999999999,2.277917,0.0030572733558724445
L'Adresse Hôtel,4bedadcf4daaa5930d0d8f61,48.87801880262861,2.2853386402130127,75017,Paris,"['22 rue du Débarcadère', '75017 Paris', 'France']",Hotel,75017,17,5,ChIJqV4OsYxv5kcRtAwQ-rZR_PI,L'Adresse,3.5,105,"22 Rue du Débarcadère, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8780437,2.2853258,0.002924575980866972
Résidence Impériale,4d4bb08ab9a2a14318305623,48.87624989590985,2.283685935538597,75016,Paris,"['155 Avenue de Malakoff', '75016 Paris', 'France']",Hotel,75116,16,10,ChIJNTQVl_Rv5kcREvy5lQLHGwE,Hôtel Résidence Impériale,3.7,111,"155 Avenue de Malakoff, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8761659,2.2834598,0.019036956932521
Residences Paris Maillot,555cf9b8498e1fab994887c6,48.881719,2.279806,,,['France'],Bed & Breakfast,92200,0,1,ChIJ3U8bDYpv5kcRta8-TRN2qWs,Residences Paris Maillot,3.4,24,"27 Rue Montrosier, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.881557,2.279649,0.02138132734721712
Léo's Grand Ma',4d0d8dfd3bbaa143fad33dda,48.874522999999996,2.285396,,,['France'],Bed & Breakfast,75116,16,0,,,,,,,,,['']
Waytostay,4d41e5d7aed776eb6f796897,48.87429,2.28057,75116,Paris,"['Rue Pergolese, 16ème Bois de Boulogne Trocadero', '75116 Paris', 'France']",Hotel,75116,16,0,ChIJTXQreMcPdkgRVy-B1VXDpNo,A Better Way to Stay,5,2,"31 Rowan Rd, Hammersmith, London W6 7DT, UK","['lodging', 'point_of_interest', 'establishment']",51.4944199,-0.2201065,341.7679713545323
Domaine du Pâtis,4e34c15018a82fdd656f3db0,48.881429,2.271306,,Amécourt,"['1 place du Pâtis', 'Amécourt', 'France']",Bed & Breakfast,92200,0,0,ChIJydp5LMtp7kcRpgSg-B8twFA,Domaine du Chardonnay,4.9,14,"Moulins du Patis, 89800 Chablis, France","['food', 'point_of_interest', 'establishment']",47.8194981,3.8003495,163.66230885749223
Duplex Belidor,4ff03650e4b07e8f74612b79,48.879931603116454,2.2859748118516423,75017,Paris,"['7 Rue Belidor', '75017 Paris', 'France']",Bed & Breakfast,75017,17,0,ChIJW1tHYYxv5kcR3JSiYY3Kce8,Rue Belidor,,,"Rue Belidor, 75017 Paris, France",['route'],48.8802567,2.2859664,0.036158448123215545
Lobby At The Hyatt Regency Etoile Paris,5cc94d7eacb37f002c2d8f5e,48.878993,2.2833799999999997,75017,Paris,"['75017 Paris', 'France']",Hotel,75017,17,0,ChIJT0BJgYtv5kcRJH8RHq52HUU,Hyatt Regency Paris Etoile,4.2,2523,"3 Place du Général Kœnig, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.88046139999999,2.2844977,0.18272043200808832
Residence Palais Etoile,5d447e03e0ab5b00075ec8b4,48.878337,2.284646,75017,Paris,"['75017 Paris', 'France']",Hotel,75017,17,0,ChIJ2WUjp4xv5kcRLgOekhjD2po,RÉSIDENCE PALAIS ETOILE,4.9,26,"234 Boulevard Pereire, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.878449,2.284603,0.01284837110514979
Les Poufs @JWT,4ec10f368231b62f42e7a772,48.882304,2.270114,,Neuilly-sur-Seine,"['Neuilly-sur-Seine', 'France']",Hostel,92200,0,0,,,,,,,,,['']
Hôtel Fertel Maillot,4c3372bd452620a1e39b230f,48.87816634149888,2.284956517593297,75017,Paris,"['269, bld Pereire', '75017 Paris', 'France']",Hotel,75017,17,3,ChIJNUkbr4xv5kcRhTqZsSMsvAQ,Fertel Maillot,3.8,133,"269 Boulevard Pereire, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8781389,2.2852914,0.02475250361561461
Hôtel Résidence Impériale,4adcda00f964a520bf3021e3,48.87616657557332,2.2834584116935734,75116,Paris,"['155 avenue de Malakoff', '75116 Paris', 'France']",Hotel,75116,16,0,ChIJNTQVl_Rv5kcREvy5lQLHGwE,Hôtel Résidence Impériale,3.7,111,"155 Avenue de Malakoff, 75116 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8761659,2.2834598,0.00012655034631118108
Hôtel Le Jardin de Neuilly,4c5a6af05c57c9b6114c1d4a,48.879505158377924,2.2749170744524894,92200,Neuilly-sur-Seine,"['5 rue Paul Déroulède', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,5,ChIJ0Q0w6WBl5kcR7YTVm78y3Ls,Le Jardin de Neuilly,3.8,78,"5 Rue Paul Déroulède, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.87944630000001,2.2749028,0.006628696997494627
Waytostay,4d41e612aed776eb9b816897,48.8807,2.2845,75017,Paris,"['Bd de Dixmude, 17ème Arc de Triomph', '75017 Paris', 'France']",Hotel,75017,17,0,ChIJTXQreMcPdkgRVy-B1VXDpNo,A Better Way to Stay,5,2,"31 Rowan Rd, Hammersmith, London W6 7DT, UK","['lodging', 'point_of_interest', 'establishment']",51.4944199,-0.2201065,341.3010972594338
Hôtel Saint-Cyr Étoile,4ea902020aaff9d3d54fe3ac,48.8804285796649,2.2855579841416334,75017,Paris,"['101 avenue des Ternes', '75017 Paris', 'France']",Hotel,75017,17,0,ChIJlVBAZIxv5kcRMP-3OeKWf8c,Hôtel Saint Cyr Etoile,4,78,"101 Avenue des Ternes, 75017 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.8804762,2.2855796,0.005527971328597369
Hôtel du Roule,4ccc895cba79a1cd3e083ccb,48.88187827064607,2.279274165630341,92200,Neuilly-sur-Seine,"['37 avenue du Roule', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,2,ChIJ6USqCYpv5kcRJkJdNdUdKCQ,Hôtel Du Roule,3.5,149,"37 Avenue du Roule, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.88173119999999,2.2793581,0.017475573370475114
Crowne Plaza Paris Neuilly,58ca35fb2f91cb3b1727b50d,48.89028307451909,2.276789091365572,92200,Neuilly-sur-Seine,"['58 Boulevard Victor Hugo', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,25,ChIJMSdn_Hxl5kcRx5rmqrnmjdc,Crowne Plaza Paris - Neuilly,4.2,785,"58 Boulevard Victor Hugo, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.8902831,2.2767891,2.903550996464382e-06
Mövenpick Hôtel Paris Neuilly,50d35270e4b04d6aecbb3a0c,48.89019500701339,2.277013653847712,92200,Neuilly-sur-Seine,"['58 boulevard Victor Hugo (Rue de Lesseps)', '92200 Neuilly-sur-Seine', 'France']",Hotel,92200,0,100,ChIJMSdn_Hxl5kcRx5rmqrnmjdc,Crowne Plaza Paris - Neuilly,4.2,785,"58 Boulevard Victor Hugo, 92200 Neuilly-sur-Seine, France","['lodging', 'point_of_interest', 'establishment']",48.8902831,2.2767891,0.019160855447095473
Hotel Mercure Paris Levallois Perret,5068d8cae4b0c7c052c011b6,48.88969591424339,2.2827068947102167,92300,Levallois-Perret,"['48  rue Chaptal', '92300 Levallois-Perret', 'France']",Hotel,92300,0,20,ChIJJ6uSUoZv5kcR7UzDPYSC-Q4,Hotel Mercure Paris Levallois Perret,4.1,225,"48 Rue Chaptal, 92300 Levallois-Perret, France","['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.88971189999999,2.2826214,0.006516768526457884
Campanile Paris Ouest - Porte de Champerret Levallois,4bc8d9f0762beee1f6983d38,48.891363481686014,2.2838584491097804,92300,Levallois-Perret,"['72 rue Marius Aufan', '92300 Levallois-Perret', 'France']",Hotel,92300,0,5,ChIJgzXN7IZv5kcROpCCdg9x2KY,Hôtel Campanile Levallois,3.1,249,"72 Rue Marius Aufan, 92300 Levallois-Perret, France","['parking', 'lodging', 'point_of_interest', 'establishment']",48.8913928,2.2840096,0.011553599893891606
Hotel d'Anjou Paris,4be09c7c4c55b651ac7ceab7,48.89071526707844,2.2863507437892494,92300,Levallois-Perret,"['47 rue Louis Rouquier', '92300 Levallois-Perret', 'France']",Hotel,92300,0,4,ChIJTRPwOYRv5kcREMFcGD0PxAs,Hotel D'Anjou,3,309,"47 Rue Louis Rouquier, 92300 Levallois-Perret, France","['lodging', 'point_of_interest', 'establishment']",48.89076559999999,2.2865254,0.013977541564288059
Boutique hôtel Francesca L.,56e6934ecd1044008d97ad35,48.889735636284115,2.2852206230163574,92300,Levallois-Perret,"['39 rue Marius Aufan', '92300 Levallois-Perret', 'France']",Hotel,92300,0,0,,,,,,,,,['']
Hôtel Salvy Paris-Levallois,4f4fcc3ae4b024479541c866,48.88878869933369,2.2850728916336784,92300,Levallois-Perret,"['33 rue Danton', '92300 Levallois-Perret', 'France']",Hotel,92300,0,1,ChIJdeC4dIZv5kcRCNrj62uk9Ps,Hôtel SALVY PARIS-LEVALLOIS,2.9,46,"33 Rue Danton, 92300 Levallois-Perret, France","['lodging', 'point_of_interest', 'establishment']",48.88894699999999,2.2850489,0.017691936413941796
Hôtel ABC,4bd721b7304fce720e1f33ab,48.8906168673379,2.283306866884231,92300,Levallois-Perret,"['63 rue Danton', '92300 Levallois-Perret', 'France']",Hotel,92300,0,0,ChIJ1S98-oZv5kcRkc4nH89IECk,ABC Champerret,3.3,121,"63 Rue Danton, 92300 Levallois-Perret, France","['lodging', 'point_of_interest', 'establishment']",48.890646,2.2833451,0.004284495536298969
Evergreen Laurel Hotel,4b5ed087f964a520a09929e3,48.89835295515229,2.2815796890402584,92300,Levallois-Perret,"['8 place Georges Pompidou', '92300 Levallois-Perret', 'France']",Hotel,92300,0,27,ChIJ21g97X9v5kcRHHqEXhUEUJ4,Evergreen Laurel Hotel,3.8,653,"8 Place Georges Pompidou, 92300 Levallois-Perret, France","['lodging', 'point_of_interest', 'establishment']",48.8984995,2.2822969,0.0550536366996072
Hotel Mercure Pont De Levallois Neuilly,5c5215e71c9e2e0025fef681,48.894003999999995,2.2784869999999997,92300,Levallois-Perret,"['19 Rue Paul Caillant Couturier', '92300 Levallois-Perret', 'France']",Hotel,92300,0,0,ChIJEXSBan5l5kcRVnCwEAw58xY,Hôtel Mercure Paris Pont de Levallois Neuilly,4.6,67,"19 Rue Paul Vaillant Couturier, 92300 Levallois-Perret, France","['lodging', 'point_of_interest', 'establishment']",48.894045,2.278538,0.005896976039018101
Hôtel du Parc,4e30b83b483bb3fdc437ca58,48.89593066417508,2.2798130727692296,92300,Levallois-Perret,"['18 rue Baudin (Rue Marius Aufan)', '92300 Levallois-Perret', 'France']",Hotel,92300,0,0,ChIJb8tkm8tx5kcROKNUDMDutEA,Hotel du Parc,3.8,228,"6 Rue Jolivet, 75014 Paris, France","['lodging', 'point_of_interest', 'establishment']",48.840807,2.32398,6.933839266305918
Boat On The Seine,4e79f5d1b9937f472da43129,48.89947208939828,2.278690121712032,,,['France'],Bed & Breakfast,92300,0,1,ChIJiwXbjSBu5kcRElMMiLmE-mo,Vedettes du Pont Neuf,4.3,2326,"1 Square du Vert Galant, 75001 Paris, France","['travel_agency', 'point_of_interest', 'establishment']",48.8573797,2.340873499999999,6.535713110431342
